"causal_k","compute_cost","expanded_dense_loss","expanded_path_loss","expanded_sparse_loss","expanded_working_set_size","expansion_cost","expansion_path","expansion_ratio","hidden_dim","initial_dense_loss","initial_dense_ratio","initial_working_set_size","interaction_mode","layers","max_expansion_rate","model","oracle_loss","policy","policy_accuracy","policy_delta_vs_sparse","policy_excess_over_oracle","policy_loss","propagation_steps","regret_steps","route_threshold","rule","samples","seed","selection_mode","sparse_loss","status","total_compute_ratio","total_objects_n","validation_samples"
"8","0.05","1.042426","0.992121","0.992121","32","0.02","sparse","0.0","128","1.022294","0.166667","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.878248","initial_calibrated_regret","0.466667","-0.043367","0.061407","0.939655","40","80","0.01116","none","90","11","proximity","0.983022","ok","0.166667","2048","90"
"8","0.05","1.042426","0.992121","0.992121","32","0.02","sparse","1.0","128","1.022294","0.0","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.878248","always_expand_sparse","0.511111","0.009099","0.113873","0.992121","40","80","0.01116","always","90","11","proximity","0.983022","ok","1.0","2048","90"
"8","0.05","1.042426","1.042426","0.992121","32","0.02","dense","1.0","128","1.022294","0.0","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.892045","always_expand_dense","0.455556","0.059404","0.150381","1.042426","40","80","0.01116","always","90","11","proximity","0.983022","ok","1.0","2048","90"
"8","0.05","1.042426","0.992121","0.992121","32","0.02","sparse","0.1","128","1.022294","0.166667","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.878248","structured_expansion_gate","0.477778","-0.041694","0.06308","0.941328","40","80","0.01116","sparse_margin:le:0.031854 AND interaction_density:ge:0.225252","90","11","proximity","0.983022","ok","0.266667","2048","90"
"8","0.05","1.042426","0.992121","0.992121","32","0.02","sparse","0.0","128","1.022294","0.166667","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.878248","physical_expansion_gate","0.466667","-0.043367","0.061407","0.939655","40","80","0.01116","none","90","11","proximity","0.983022","ok","0.166667","2048","90"
"8","0.05","1.042426","1.042426","0.992121","32","0.02","dense","0.1","128","1.022294","0.166667","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.892045","structured_dense_expansion_gate","0.455556","-0.025293","0.065684","0.957729","40","80","0.01116","sparse_margin:le:0.031854 AND interaction_density:ge:0.225252","90","11","proximity","0.983022","ok","0.266667","2048","90"
"8","0.05","1.042426","1.042426","0.992121","32","0.02","dense","0.0","128","1.022294","0.166667","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.892045","physical_dense_expansion_gate","0.466667","-0.043367","0.04761","0.939655","40","80","0.01116","none","90","11","proximity","0.983022","ok","0.166667","2048","90"
"8","0.05","1.090726","0.9998","0.9998","32","0.02","sparse","0.0","128","1.072847","0.055556","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.915708","initial_calibrated_regret","0.511111","-0.004537","0.060089","0.975796","40","80","-0.007055","none","90","13","proximity","0.980333","ok","0.055556","2048","90"
"8","0.05","1.090726","0.9998","0.9998","32","0.02","sparse","1.0","128","1.072847","0.0","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.915708","always_expand_sparse","0.5","0.019467","0.084092","0.9998","40","80","-0.007055","always","90","13","proximity","0.980333","ok","1.0","2048","90"
"8","0.05","1.090726","1.090726","0.9998","32","0.02","dense","1.0","128","1.072847","0.0","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.916351","always_expand_dense","0.488889","0.110393","0.174375","1.090726","40","80","-0.007055","always","90","13","proximity","0.980333","ok","1.0","2048","90"
"8","0.05","1.090726","0.9998","0.9998","32","0.02","sparse","0.066667","128","1.072847","0.055556","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.915708","structured_expansion_gate","0.511111","-0.002621","0.062004","0.977712","40","80","-0.007055","sparse_dense_disagreement:ge:1.000000 AND interaction_density:ge:0.291077","90","13","proximity","0.980333","ok","0.122222","2048","90"
"8","0.05","1.090726","0.9998","0.9998","32","0.02","sparse","0.044444","128","1.072847","0.044444","4","pairwise","1","0.5","wpu-cws-indexed-regret-hybrid","0.915708","physical_expansion_gate","0.522222","-0.002084","0.062542","0.97825","40","80","-0.007055","mean_pair_distance:le:0.061819 AND event_norm:le:1.706665","90","13","proximity","0.980333","ok","0.088889","2048","90"
